iter	RMSE
555	38.80046676
556	38.80021081
557	38.79990676
558	38.79953491
559	38.79927963
560	38.7990067
561	38.79872705
562	38.79834356
563	38.79801012
564	38.79778662
565	38.79752211
566	38.79715549
567	38.79684662
568	38.79646318
569	38.79619641
570	38.79579798
571	38.79540405
572	38.79513646
573	38.79490845
574	38.79464035
575	38.7943182
576	38.79410531
577	38.79390078
578	38.79363326
579	38.79336215
580	38.79307216
581	38.79276685
582	38.7925596
583	38.79229461
584	38.79207031
585	38.79180125
586	38.79150276
587	38.79126551
588	38.79094925
589	38.79071098
590	38.79034653
591	38.79010634
592	38.78980923
593	38.78959661
594	38.78931359
595	38.78897009
596	38.78861782
597	38.78837292
598	38.78815298
599	38.7878258
600	38.78757046
601	38.78727456
602	38.7869485
603	38.7866724
604	38.7864386
605	38.78613391
606	38.78591918
607	38.78558482
608	38.78526332
609	38.78500802
610	38.78480587
611	38.78454323
612	38.78423653
613	38.78400281
614	38.78371481
615	38.78343621
616	38.78312175
617	38.7828875
618	38.78250266
619	38.78222054
620	38.78181761
621	38.78149338
622	38.78118067
623	38.78096777
624	38.78079642
625	38.78048747
626	38.78022792
627	38.77996995
628	38.77968808
629	38.77949452
630	38.77917695
631	38.77879181
632	38.77838518
633	38.77810417
634	38.77788329
635	38.77769723
636	38.77729391
637	38.77704632
638	38.77682785
639	38.77652681
640	38.77617406
641	38.77595715
642	38.77561045
643	38.77531687
644	38.77508632
645	38.77484503
646	38.77461398
647	38.7743942
648	38.7740243
649	38.77379611
650	38.77349814
651	38.77333464
652	38.77311047
653	38.77286454
654	38.77254689
655	38.77213147
656	38.77182922
657	38.77162184
658	38.77133853
659	38.77110987
660	38.77084682
661	38.77047994
662	38.77014949
663	38.77000167
664	38.76972873
665	38.76934636
666	38.76914963
667	38.7689092
668	38.76860273
669	38.76844814
670	38.76811752
671	38.76788463
672	38.76753793
673	38.76731639
674	38.76710228
675	38.76679599
676	38.76653291
677	38.76625766
678	38.76598923
679	38.7657558
680	38.76550255
681	38.76528384
682	38.76488798
683	38.76453846
684	38.76430537
685	38.76401138
686	38.76377508
687	38.76361022
688	38.76346211
689	38.76317722
690	38.76291524
691	38.76264852
692	38.76236462
693	38.76208483
694	38.76186131
695	38.76157637
696	38.76120661
697	38.76096988
698	38.76066335
699	38.76034769
700	38.76002172
701	38.75973659
702	38.75950108
703	38.75928778
704	38.75912191
705	38.75890632
706	38.75860543
707	38.75827414
708	38.75802037
709	38.75782253
710	38.75761537
711	38.75745129
712	38.75715984
713	38.75689709
714	38.75670126
715	38.75650491
716	38.75625556
717	38.75601936
718	38.7558024
719	38.75560518
720	38.75535266
721	38.75512319
722	38.75490129
723	38.75464075
724	38.75435733
725	38.75403617
726	38.75375464
727	38.75356009
728	38.7532343
729	38.75295914
730	38.75261015
731	38.75231184
732	38.7520716
733	38.75186712
734	38.75166367
735	38.75137407
736	38.75108611
737	38.75077572
738	38.75048003
739	38.7502596
740	38.74997587
741	38.74966376
742	38.74935922
743	38.74906386
744	38.74881472
745	38.74863468
746	38.74836606
747	38.74811234
748	38.74787738
749	38.74755206
750	38.74722766
751	38.74700096
752	38.74682392
753	38.74651942
754	38.74623363
755	38.74594397
756	38.74567711
757	38.74547243
758	38.74512921
759	38.74483974
760	38.74465212
761	38.74440342
762	38.7440855
763	38.74374407
764	38.74349966
765	38.74318706
766	38.74288087
767	38.74261876
768	38.74239754
769	38.74213587
770	38.74192691
771	38.74153692
772	38.74138086
773	38.74113455
774	38.74083807
775	38.74045082
776	38.74009996
777	38.73990458
778	38.73969012
779	38.739491
780	38.73930359
781	38.73908136
782	38.73886737
783	38.7385763
784	38.73819584
785	38.73784061
786	38.73756141
787	38.73729745
788	38.73701712
789	38.73680607
790	38.7364001
791	38.73615335
792	38.73596279
793	38.73571031
794	38.7353815
795	38.73515359
796	38.73493063
797	38.73472666
798	38.73438892
799	38.73414777
800	38.73389592
801	38.73350478
802	38.73321854
803	38.73292752
804	38.73266982
805	38.73243373
806	38.73221124
807	38.73202294
808	38.73174876
809	38.73151362
810	38.73131552
811	38.73100725
812	38.73084232
813	38.73055296
814	38.73028138
815	38.72999939
816	38.72974979
817	38.72946977
818	38.72923182
819	38.72893724
820	38.72869058
821	38.72844906
822	38.72823164
823	38.72799221
824	38.72771676
825	38.72735829
826	38.72710102
827	38.72675721
828	38.72656021
829	38.72633434
830	38.72619221
831	38.72587843
832	38.72566949
833	38.72537392
834	38.72511649
835	38.72483421
836	38.72458039
837	38.72424067
838	38.72388783
839	38.72366765
840	38.72345589
841	38.72306497
842	38.7228472
843	38.7225973
844	38.7223425
845	38.72208969
846	38.72179526
847	38.72154661
848	38.72124298
849	38.72103406
850	38.72078654
851	38.72051283
852	38.72014607
853	38.71984423
854	38.71960998
855	38.71932046
856	38.71902574
857	38.71876591
858	38.71842061
859	38.71823498
860	38.71792633
861	38.71771834
862	38.71752753
863	38.71724299
864	38.71688589
865	38.71662892
866	38.71637552
867	38.71606683
868	38.71584961
869	38.71556397
870	38.71537418
871	38.71509169
872	38.71485822
873	38.71464365
874	38.71436897
875	38.71422676
876	38.71393916
877	38.71367301
878	38.71343683
879	38.71318441
880	38.71293483
881	38.71275063
882	38.71256906
883	38.71228757
884	38.71212357
885	38.71183922
886	38.71149853
887	38.71119774
888	38.7109674
889	38.71063246
890	38.71040648
891	38.71018124
892	38.70994751
893	38.70971199
894	38.70948174
895	38.70917811
896	38.70883104
897	38.70857511
898	38.70841123
899	38.70809189
900	38.70786368
901	38.70760521
902	38.70732294
903	38.70709942
904	38.70689598
905	38.70664752
906	38.70640106
907	38.70618007
908	38.70589873
909	38.70567205
910	38.70536195
911	38.70520747
912	38.70493885
913	38.7046993
914	38.70450679
915	38.70420438
916	38.70380457
917	38.70356829
918	38.70324992
919	38.70304608
920	38.70274457
921	38.70255039
922	38.70228884
923	38.70205819
924	38.70177059
925	38.70159717
926	38.70128956
927	38.70099592
928	38.70068761
929	38.70042024
930	38.70007247
931	38.69980823
932	38.69932443
933	38.69902756
934	38.69869314
935	38.69847267
936	38.69826539
937	38.69792676
938	38.69764244
939	38.69747269
940	38.69720069
941	38.69682379
942	38.69660599
943	38.69643459
944	38.69630313
945	38.69592963
946	38.69572732
947	38.69547251
948	38.69523004
949	38.69490906
950	38.69472945
951	38.69445365
952	38.69421489
953	38.69394154
954	38.69381481
955	38.69356355
956	38.69332715
957	38.69311073
958	38.69285221
959	38.69261472
960	38.69235332
961	38.69204883
962	38.69180252
963	38.69156406
964	38.69128961
965	38.69110113
966	38.69088435
967	38.69058481
968	38.69035185
969	38.6900039
970	38.68977396
971	38.68955479
972	38.68931977
973	38.68909611
974	38.68889611
975	38.68862093
976	38.68832019
977	38.68805313
978	38.68776393
979	38.68746725
980	38.6872436
981	38.68696082
982	38.68672959
983	38.68645483
984	38.6862028
985	38.68592816
986	38.68568608
987	38.68549175
988	38.68518374
989	38.68484677
990	38.6845672
991	38.68429953
992	38.68405311
993	38.68382916
994	38.68356305
995	38.68332588
996	38.68309126
997	38.6829074
998	38.68260592
999	38.68225969
